repo,commit_hash,file_path,is_buggy,loc,sloc,avg_complexity,max_complexity,maintainability_index,num_contributors,num_commits,num_bug_fixes,file_age_commits,lines_added,lines_deleted,import_count,max_nesting_depth,commit_hour,author_commits,files_in_commit,day_of_week,is_first_contribution,commit_msg_length
click,34723d12,src/click/_termui_impl.py,1,847,583,4.84,19,17.52,12,14,3,0,9,4,40,6,23,2,1,6,1,242
click,27de74af,src/click/termui.py,0,883,382,4.27,23,44.38,6,9,2,0,2,10,27,5,11,4,1,3,1,56
click,1c9fc6df,src/click/termui.py,1,877,382,4.27,23,44.51,6,9,2,2,14,0,27,5,9,4,1,3,0,113
click,7db1f209,src/click/_termui_impl.py,0,847,583,4.84,19,17.52,12,14,3,29,1,1,40,6,7,1,2,3,1,460
click,9c079247,src/click/_utils.py,0,36,12,1.5,2,100.0,1,2,0,0,12,1,3,2,0,57,3,6,0,17
click,9c079247,src/click/parser.py,0,532,328,4.46,10,40.86,1,2,0,0,7,8,21,7,0,57,3,6,0,17
click,701b3131,src/click/shell_completion.py,1,665,361,2.84,10,46.58,8,8,4,0,2,0,17,7,6,1,2,5,1,61
click,b9e4052e,src/click/_termui_impl.py,0,847,583,4.84,19,17.52,12,14,3,88,1,1,40,6,18,7,1,3,0,42
click,17cedf79,src/click/_termui_impl.py,0,847,583,4.84,19,17.52,12,14,3,89,13,5,40,6,14,4,1,3,0,22
click,812b8000,src/click/termui.py,1,877,382,4.27,23,44.87,6,9,2,95,6,6,27,5,16,4,3,0,0,1994
click,e2524373,src/click/exceptions.py,0,308,184,2.58,13,52.97,5,8,0,0,3,3,12,5,3,59,8,1,0,105
click,e2524373,src/click/shell_completion.py,0,664,360,2.84,10,46.63,8,8,4,22,21,1,17,7,3,59,8,1,0,105
click,a1235aac,src/click/shell_completion.py,1,644,358,2.78,10,46.52,8,8,4,24,21,1,17,7,21,1,3,0,1,107
click,3155dcac,src/click/exceptions.py,0,308,184,2.58,13,52.97,5,8,0,6,3,3,12,5,11,1,2,3,1,297
click,9caedb92,src/click/types.py,1,1165,652,2.89,17,23.22,6,6,2,0,57,13,25,6,19,57,8,2,0,116
click,28650344,docs/conf.py,0,57,48,0.0,0,100.0,2,4,0,0,1,1,2,0,13,18,8,3,0,8
click,b1d172a5,docs/conf.py,0,57,48,0.0,0,100.0,2,4,0,3,2,2,2,0,12,18,10,6,0,8
click,d1a80aa9,src/click/_termui_impl.py,0,839,581,4.84,19,17.58,12,14,3,130,1,1,38,6,11,18,7,6,0,23
click,ac6a2acf,src/click/shell_completion.py,1,644,358,2.78,10,46.52,8,8,4,78,2,2,17,7,13,1,3,0,1,182
click,6fec395e,src/click/_winconsole.py,1,295,225,2.16,7,43.72,3,3,1,0,3,2,28,4,8,4,1,3,0,20
click,fc30c697,docs/conf.py,0,57,48,0.0,0,100.0,2,4,0,50,1,0,2,0,5,59,2,6,0,39
click,ba770cbc,src/click/types.py,0,1165,652,2.89,17,23.22,6,6,2,64,4,2,25,6,15,18,17,5,0,32
click,f14b7506,src/click/_termui_impl.py,0,839,581,4.84,19,17.62,12,14,3,179,1,1,38,6,14,18,15,5,0,23
click,f14b7506,src/click/_winconsole.py,0,295,225,2.16,7,43.72,3,3,1,5,1,1,28,4,14,18,15,5,0,23
click,0b7a9acc,src/click/__init__.py,1,124,105,5.0,5,60.69,2,2,1,0,0,1,70,2,11,57,5,3,0,149
click,0b7a9acc,src/click/decorators.py,1,565,278,2.21,10,53.41,2,4,1,0,12,26,16,4,11,57,5,3,0,149
click,e5abf200,docs/conf.py,0,56,47,0.0,0,100.0,2,4,0,73,1,0,2,0,22,59,8,6,0,26
click,4ece17a1,src/click/exceptions.py,0,308,184,2.58,13,53.11,5,8,0,103,3,1,12,5,14,4,10,6,1,58
click,4ece17a1,src/click/types.py,0,1160,650,2.89,17,23.2,6,6,2,96,96,45,25,6,14,4,10,6,1,58
click,098f6146,src/click/shell_completion.py,0,638,353,2.75,10,46.95,8,8,4,134,1,0,16,7,7,7,1,1,0,41
click,fde47b4b,src/click/_compat.py,1,622,435,2.52,21,30.79,2,2,1,21,1,1,15,4,17,6,2,5,0,35
click,fde47b4b,src/click/_termui_impl.py,1,762,532,4.83,17,19.68,12,14,3,241,2,2,34,5,17,6,2,5,0,35
click,3b06e0b7,src/click/_termui_impl.py,1,748,526,4.8,17,19.41,12,14,3,242,31,17,34,5,1,1,3,5,1,58
