repo,commit_hash,file_path,is_buggy,loc,sloc,avg_complexity,max_complexity,maintainability_index,num_contributors,num_commits,num_bug_fixes,file_age_commits,recent_changes,lines_added,lines_deleted
click,0a446700,docs/conf.py,1,217,35,0.0,0,100.0,1,2,1,41,2,3,1
click,8254b796,docs/clickdoctools.py,0,252,206,2.09,9,32.44,1,5,2,3,3,1,0
click,0ed40c88,click/core.py,0,850,485,3.33,21,20.99,2,62,15,0,2,21,857
click,ded4bd56,click/_optparse.py,1,87,62,1.45,2,63.65,2,10,3,2,3,2,0
click,8f7caca1,click/_optparse.py,1,89,64,1.45,2,63.03,2,10,3,3,3,4,1
click,8f7caca1,click/core.py,1,849,483,3.33,21,21.02,2,62,15,3,2,7,4
click,e2124ba8,click/core.py,0,855,487,3.34,21,20.76,2,62,15,4,2,4,1
click,68e14259,click/core.py,0,853,488,3.33,21,20.92,2,62,15,5,2,9,11
click,9ab74c30,click/core.py,1,853,488,3.33,21,20.92,2,62,15,8,2,19,0
click,535a8358,click/core.py,0,874,505,3.38,21,20.22,2,62,15,9,2,6,4
click,535a8358,click/utils.py,0,53,37,2.8,5,50.94,2,19,4,9,1,29,2
click,51ebc82f,click/core.py,0,874,505,3.38,21,20.22,2,62,15,10,2,1,1
click,055a8e60,click/__init__.py,0,54,23,0.0,0,100.0,1,23,0,11,1,4,4
click,055a8e60,click/core.py,0,903,521,3.29,21,18.73,2,62,15,11,2,29,0
click,95c24b32,click/__init__.py,0,54,23,0.0,0,100.0,1,23,0,13,1,2,2
click,083d566f,click/exceptions.py,1,19,10,2.0,3,100.0,1,6,2,27,1,1,1
click,083d566f,click/helpers.py,1,173,110,7.4,12,60.4,2,8,1,27,2,8,7
click,8512acdd,click/core.py,0,944,542,3.32,21,16.55,2,62,15,28,2,9,0
click,8512acdd,click/decorators.py,0,265,123,1.54,5,65.72,3,14,2,28,1,9,2
click,141a6921,click/_optparse.py,0,641,468,2.73,10,18.63,2,10,3,29,3,1,69
click,141a6921,click/core.py,0,952,546,3.24,21,16.15,2,62,15,29,2,12,4
click,dce3b868,click/_optparse.py,1,598,439,2.79,14,21.0,2,10,3,31,3,1,1
click,981172fb,click/_optparse.py,0,342,231,3.63,14,40.85,2,10,3,32,3,8,264
click,981172fb,click/core.py,0,1006,591,3.11,21,13.06,2,62,15,32,2,89,35
click,2ca87b3d,click/core.py,1,1006,591,3.11,21,13.06,2,62,15,34,2,20,10
click,40987c9f,click/core.py,1,1016,598,3.05,21,12.4,2,62,15,35,2,2,1
click,a25bf130,click/core.py,1,1017,599,3.05,21,12.38,2,62,15,37,2,2,6
